Launch Azimuth,MECO Target Altitude,Longitude (East) [Body-Fixed Frame (Origin: Kerbin)],Latitude (North) [Body-Fixed Frame (Origin: Kerbin)],Position Vector Magnitude [Body-Fixed Frame (Origin: Kerbin)],Velocity Azimuth [Body-Fixed Frame (Origin: Kerbin)],Velocity Elevation [Body-Fixed Frame (Origin: Kerbin)],Velocity Vector Magnitude [Body-Fixed Frame (Origin: Kerbin)],Payload Mass [mT]
90,104,48.68269701,21.59483428,704.0000009,112.227626,8.19515E-07,2.061910203,0.586399105
90,92,44.60012721,23.01635115,692.0000012,110.524113,1.06894E-06,2.084229965,0.624213084
72,104,45.57367549,35.61107474,704.0000004,96.69863369,1.31705E-06,2.07392534,0.57344765
108,104,46.47617466,6.315869213,704.0000052,124.3208985,2.69604E-06,2.068294866,0.585652728
72,92,47.85418343,35.31644989,692.0000013,98.24691911,1.42588E-06,2.096028644,0.615227232
108,92,36.57651595,12.82548953,692,122.1915841,-1.5948E-09,2.090163457,0.630153314
90,116,43.72410113,23.40760295,716.0000001,109.7894528,-9.70799E-07,2.039684248,0.546301257
90,80,47.09493794,22.00072581,680.0000014,111.9916537,8.80927E-07,2.107437356,0.651452055
72,116,39.69533778,36.11465279,716.0000001,92.45750552,-1.70943E-08,2.052396195,0.528403806
108,116,37.31419022,12.22041695,716.0000002,122.458359,-7.73234E-07,2.046039599,0.534577525
72,80,50.85390274,34.79218034,680.0000014,100.4451381,7.57079E-07,2.118615407,0.654594011
108,80,42.96216025,8.738235733,679.9999994,123.8741923,-4.10134E-07,2.113608465,0.667981691
54,104,43.27723213,47.30791719,704.0000003,80.79909832,4.07275E-07,2.102247385,0.570591081
126,104,32.46813358,-0.818614365,703.9999981,136.2843302,-1.99712E-06,2.092990379,0.577139876
54,92,46.46981436,47.41908652,691.9999996,83.76991229,-6.31056E-07,2.12332156,0.603541842
126,92,32.94559931,-1.16377918,692.0000031,136.2786736,2.01468E-06,2.114953852,0.618756383
90,128,41.58141859,24.10564381,727.9999987,108.7360278,5.40081E-07,2.018155972,0.499975029
54,116,36.91846464,46.51018584,716.0000051,75.34165357,-4.85015E-07,2.081602784,0.532088838
126,116,28.70146295,2.94267569,715.9999996,136.1812841,1.0996E-06,2.071447023,0.535590291
72,128,35.26450631,36.22284491,728.000002,89.09335281,5.08737E-07,2.031302385,0.500176424
108,128,32.75584969,14.90471019,728.0000001,121.0568538,2.85309E-08,2.024258558,0.491969061
54,80,51.48061151,47.53485278,680.000001,88.0804505,5.80844E-07,2.145143252,0.643090104
126,80,33.10005269,-1.192033539,679.9999982,136.3733454,-1.02692E-06,2.137643242,0.657442326
36,104,38.16581241,58.03617642,704.0000001,63.40405033,-1.40011E-07,2.142054761,0.557420323
144,104,19.96816403,-6.468004805,704,151.2566486,1.23901E-07,2.134517473,0.560740838
36,92,43.47648679,59.14472068,692,68.47558918,-3.12167E-09,2.162502687,0.594164259
144,92,20.25522193,-6.773899631,691.9999998,151.1682269,5.76351E-09,2.155635863,0.58955004
54,128,35.59215173,46.37679673,727.9999995,74.15287424,2.13177E-08,2.061280402,0.49204467
126,128,26.17067366,5.377756912,727.9999994,135.9600269,1.10151E-07,2.050368085,0.493891233
36,116,29.68235642,55.48134478,716.0000001,55.33456949,1.87455E-07,2.122580061,0.512335813
144,116,15.3257596,1.693589602,715.9999996,151.5540171,2.70074E-08,2.113911708,0.518418668
90,140,37.6463061,25.23947749,740.0000009,106.7846655,-9.32802E-08,1.997012866,0.464902951
36,80,44.09882458,59.07193345,680.0000005,69.33332529,2.54422E-07,2.18330308,0.625066873
144,80,23.24602212,-11.69438206,680.000002,150.5661095,1.13369E-06,2.177239557,0.630666307
72,140,39.86765921,36.2428353,739.9999984,92.2965308,1.30784E-07,2.010702061,0.460770604
108,140,33.29598441,14.53446384,739.9999983,121.27532,1.27984E-07,2.003390581,0.456402828
36,128,37.17497647,58.09566328,728.0000001,62.48697476,-2.33584E-08,2.102416527,0.467367645
144,128,17.22745062,-2.160470696,727.9999987,151.5704921,2.10798E-07,2.093626097,0.480431502
54,140,39.14391512,47.08780682,739.9999988,77.14004832,-6.00783E-09,2.041122347,0.44614773
126,140,24.62414391,6.786455871,739.9999993,135.7719543,-9.97163E-08,2.029745197,0.454879271
18,104,22.7996399,66.26881197,704.0000002,37.02227012,-4.60408E-08,2.189037394,0.534774607
162,104,7.597936666,-10.22464502,703.9999996,167.6303472,6.12045E-07,2.187767588,0.53064217
18,92,28.38684101,68.54496363,691.9999998,42.84129684,-5.42284E-07,2.208255304,0.567710349
162,92,7.90624665,-10.75867205,692.0000023,167.4726151,1.53193E-06,2.207788152,0.580201792
18,116,19.20880463,64.30427091,715.9999998,33.4575261,5.92589E-08,2.169712239,0.498322071
162,116,5.774640832,-3.1650976,715.999999,168.0561167,4.26592E-07,2.16837975,0.492137763
18,80,24.23666536,66.58924587,679.9999993,38.58028586,-4.59099E-07,2.228973885,0.607544861
162,80,9.252038749,-15.55464659,680.0000047,166.9604236,2.28162E-06,2.228226293,0.615260769
90,152,32.76246108,26.46687895,752.0000011,104.0910611,2.01945E-07,1.976187501,0.425212442
72,152,36.66811803,36.32218689,751.9999972,90.25884256,-1.4044E-07,1.990432633,0.421133527
108,152,29.90365775,16.39899075,751.999999,120.1776891,-1.49021E-07,1.982674382,0.424584404
36,140,34.34104796,57.39847979,739.9999994,59.65785558,-4.48554E-07,2.083472475,0.438698826
144,140,17.11236791,-2.378657204,740.0000031,151.6823285,-1.94758E-07,2.074069995,0.44070386
18,128,19.93340426,64.94777991,728.0000009,34.37028405,-9.1582E-08,2.150529372,0.451755901
162,128,6.118425627,-5.435638876,728.0000074,168.0953245,-3.08603E-08,2.149204393,0.4482864
54,152,33.4157663,46.11304183,751.9999986,72.2908712,-2.81306E-07,2.021798798,0.411505417
126,152,23.46108564,7.805585922,752.0000034,135.6836529,9.82831E-07,2.009747521,0.416047266
0,104,355.9051907,68.74186977,704.0000002,359.7672293,-1.12328E-07,2.238814905,0.511359805
180,104,354.9319742,-10.04734377,704.0000002,184.5463381,4.21872E-07,2.246689565,0.515120937
0,92,356.1146942,68.08999946,691.9999997,359.7317622,-5.08739E-07,2.258183214,0.557525116
180,92,354.9434481,-13.96410427,691.9999982,184.3301542,-1.27698E-06,2.265416511,0.556021738
0,116,355.7618997,65.16884581,716.0000006,359.165987,-1.01888E-07,2.220446571,0.480043384
180,116,355.3902106,-2.522322849,716,184.7698394,-7.69278E-11,2.22849726,0.479464673
18,140,22.43696129,66.57831266,739.9999994,37.00961679,1.37598E-07,2.13189014,0.416903444
162,140,5.334849595,-2.932387578,739.9999954,168.2850148,-4.94173E-07,2.13062539,0.410803534
0,80,356.3632134,71.62750761,679.9999999,0.371940715,-2.79764E-08,2.277668992,0.589340848
180,80,354.9197587,-15.69017921,680.0000045,184.1444892,2.02644E-06,2.284760904,0.580269944
36,152,30.49573871,56.19726724,752.0000013,56.15067995,1.34676E-07,2.06471659,0.396269339
144,152,16.8730617,-2.238978601,752.0000009,151.7140158,4.64176E-07,2.054661398,0.401530425
90,164,31.05287405,26.81484805,764.0000004,103.4188831,1.03117E-07,1.956128937,0.386850354
72,164,33.57274067,36.35396621,764.0000007,87.95528863,2.11886E-07,1.970703289,0.370682846
108,164,26.72271142,18.0394566,763.9999988,119.0043582,-3.62795E-07,1.962303334,0.385761737
0,128,355.4762143,66.94519358,727.9999992,359.3536668,9.25952E-08,2.201889827,0.440963162
180,128,354.7064461,-8.148053994,728.0000028,184.8576262,-2.41874E-07,2.210340448,0.432399924
54,164,28.74199443,45.05185007,763.9999977,68.52402684,-1.09701E-06,2.002784593,0.362821035
126,164,24.20721483,6.833539063,764.0000002,135.919174,-3.6035E-09,1.990256986,0.37461475
18,152,17.42069665,63.75334887,751.999998,31.85933954,-7.63657E-08,2.114342269,0.381233425
162,152,6.165695308,-7.627772559,752.0000044,168.2323674,1.55462E-07,2.112299344,0.376998459
0,140,355.2417345,65.86513656,739.9999986,359.1202212,-5.00684E-09,2.184162769,0.398682105
180,140,354.6053724,-5.755857382,740.0000025,185.0310869,1.07503E-07,2.192923936,0.391334979
36,164,27.34255031,55.0736655,764.0000022,53.08409819,6.35431E-07,2.046671146,0.347020219
144,164,15.55813607,-0.209802812,763.9999974,151.8898928,-2.87116E-07,2.036049653,0.362412893
90,176,29.49283521,27.13168719,776.0000025,102.6123024,1.03237E-06,1.936358527,0.344300256
72,176,29.95857979,36.2078033,775.9999987,85.64196748,-6.20861E-07,1.951233502,0.347659742
108,176,25.83079043,18.43667616,775.9999987,118.764197,-4.18393E-07,1.942652356,0.350092337
0,152,355.230209,62.65922847,752.0000011,358.5948058,1.00585E-07,2.167219247,0.366489443
180,152,354.3180004,-7.376132955,752.0000014,185.1550967,-1.03816E-07,2.175778904,0.36632846
54,176,23.67117706,43.55498604,776.0000006,64.35830588,8.23228E-07,1.984309527,0.337498644
126,176,23.07309077,7.820681082,775.9999959,135.7860491,-7.45688E-07,1.970944519,0.341398375
18,164,9.264529599,56.11499664,763.9999995,23.30491524,-3.121E-07,2.09784077,0.347730663
162,164,4.429876159,-0.434936864,763.9999979,168.5638003,-6.59017E-07,2.094721855,0.345840074
36,176,24.28881082,53.75655485,775.9999966,50.5456806,-1.15366E-06,2.028333731,0.323251042
144,176,13.67542044,2.945872535,776.0000038,151.9428626,1.04096E-06,2.017693871,0.32937892
0,164,355.0014126,63.11362364,763.999999,358.573307,-2.31121E-07,2.150151403,0.331442764
180,164,354.2064986,-5.845425426,764.0000004,185.3177429,1.87052E-08,2.159188669,0.32530023
90,188,23.11058723,28.20573891,788.0000007,99.00388321,2.25182E-06,1.916790862,0.309013099
72,188,27.88336845,36.10661497,787.9999969,84.36959666,-1.40126E-06,1.932199652,0.308374874
108,188,26.05197923,18.22449642,787.9999966,119.0706751,-1.36163E-06,1.923611486,0.313117951
18,176,8.877517361,55.88567527,775.9999998,22.93684191,-2.01318E-07,2.080657643,0.311668081
162,176,3.29204241,4.165678451,776.0000077,168.6490793,1.55521E-06,2.077396512,0.313231772
54,188,22.87437174,43.34319884,788.0000006,63.8778915,7.66772E-07,1.965704537,0.303882464
126,188,16.11570062,14.49643066,788.000005,134.1065514,-3.11103E-07,1.951615575,0.306870754
36,188,20.1008009,51.72531297,788,46.68545286,3.27309E-09,2.011204818,0.276545264
144,188,13.40819183,3.137332072,787.9999982,152.0294966,-6.21221E-07,1.99969163,0.29178488
0,176,354.8407037,62.33650178,775.9999961,358.3857039,-1.25899E-06,2.133688121,0.295383156
180,176,354.1052874,-4.179076325,776.0000026,185.4815452,4.91093E-07,2.143011578,0.289305559
90,200,22.49181175,28.28128802,799.9999998,98.61008747,-1.05409E-06,1.897747772,0.281126965
18,188,6.919334338,53.39899029,787.9999993,21.01411836,-9.86238E-07,2.06401835,0.274869502
162,188,3.942031917,0.110934983,788.0000043,168.8469898,1.54564E-06,2.060531207,0.275542963
72,200,27.1792576,36.08346726,799.9999996,83.81100587,-3.38549E-07,1.913562852,0.278585817
108,200,26.25928926,18.03309983,800.000001,119.2275057,4.69238E-07,1.904717162,0.28005959
54,200,23.85272399,43.8133532,800.0000011,64.77752605,1.13649E-06,1.947576073,0.266582948
126,200,15.45835352,14.94310038,800,134.0708575,1.35409E-06,1.933292623,0.272293964
36,200,18.17565768,50.63282317,799.9999983,45.01289561,-1.31012E-06,1.993824874,0.258897327
144,200,11.49051155,6.301251344,800.0000023,151.986634,1.45277E-06,1.982183689,0.260356727
0,188,354.9234764,57.44374591,788.0000013,357.6834995,8.79079E-07,2.118398476,0.26040048
180,188,354.1632161,-2.113171296,788.0000038,185.6413876,1.54923E-06,2.1272121,0.263316952
18,200,6.332797047,52.8225912,799.9999989,20.44587174,-2.14669E-06,2.047677845,0.242679123
162,200,3.543448271,0.760266033,800.0000041,169.0060851,1.49161E-06,2.044079755,0.240413486
0,200,354.7559429,57.1277409,800.0000028,357.5517241,1.83785E-06,2.10266837,0.218839274
180,200,354.504716,4.254071134,800.0000011,185.7756289,1.51987E-06,2.11169461,0.228464181
